"Product","product_map","Category"
"2-nitroimidazole exporter","A48156","nitroimidazole"
"2-nitroimidazole transporter","A7516","nitroimidazole"
"5-nitroimidazole antibiotic resistance protein","A40168","nitroimidazole"
"5-nitroimidazole antibiotic resistance protein NimA","A45025","nitroimidazole"
"5-nitroimidazole reductase NimE","A70974","nitroimidazole"
"6'-aminoglycoside N-acetyltransferase/2''-aminoglycoside phosphotransferase","A33743","aminoglycoside"
"6-N-hydroxylaminopurine resistance protein","A25981","unclassified"
"6-N-hydroxylaminopurine resistance protein YcbX","A6432","unclassified"
"AAC(3)-I family aminoglycoside 3-N-acetyltransferase","A31235","aminoglycoside"
"AAC(3)-I family aminoglycoside N-acetyltransferase","A10843","aminoglycoside"
"AAC(3)-IV family aminoglycoside N-acetyltransferase","A62264","aminoglycoside"
"AAC(3)-VI family aminoglycoside N-acetyltransferase","A29251","aminoglycoside"
"AAC(3) family aminoglycoside 3-N-acetyltransferase","A41602","aminoglycoside"
"AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase","A36125","aminoglycoside"
"AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16","A25450","aminoglycoside"
"AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase","A22661","aminoglycoside"
"AAC(6')-Ie family aminoglycoside N-acetyltransferase","A46657","aminoglycoside"
"AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase","A24132","aminoglycoside"
"AAC(6')-Ii family aminoglycoside 6'-N-acetyltransferase","A46433","aminoglycoside"
"AacA4 family aminoglycoside N(6')-acetyltransferase","A32772","aminoglycoside"
"AacA48 family aminoglycoside 6'-N-acetyltransferase","A46646","aminoglycoside"
"AadA family aminoglycoside 3''-O-nucleotidyltransferase","A5972","aminoglycoside"
"AadS family aminoglycoside 6-adenylyltransferase","A26355","aminoglycoside"
"ABC-type antimicrobial peptide transport system, ATPase component","A61986","Cationic antimicrobial peptide (CAMP) resistance"
"ABC-type multidrug transport system, ATPase component","A65469","multidrug"
"ABC-type multidrug/protein/lipid transport system","A62625","multidrug"
"ABC-type tripartite efflux pump membrane fusion protein","A47497","multidrug"
"ABC transporter polyketide tetronasin permease","A55655","tetronasin"
"ACI family class A beta-lactamase","A44783","beta-lactamase"
"AcrD family multidrug efflux RND transporter permease subunit","A55947","multidrug"
"acriflavin resistance membrane protein","A55249","acriflavin"
"acriflavin resistance protein","A17473","acriflavin"
"acriflavin resistance protein A","A68932","acriflavin"
"acriflavin resistance protein AcrA-like protein","A63445","acriflavin"
"acriflavine resistance protein A precursor","A68948","acriflavine"
"acriflavine resistance protein B","A42333","acriflavine"
"AcrZ family multidrug efflux pump-associated protein","A7995","multidrug"
"ACT family cephalosporin-hydrolyzing class C beta-lactamase","A14187","beta-lactamase"
"ADC-like class C beta-lactamase ADC-8","A35533","beta-lactamase"
"ADC family cephalosporin-hydrolyzing class C beta-lactamase","A68878","beta-lactamase"
"ADC family extended-spectrum class C beta-lactamase","A25720","beta-lactamase"
"AdeA/AdeI family multidrug efflux RND transporter periplasmic adaptor subunit","A24125","multidrug"
"AdeB/AdeJ family multidrug efflux RND transporter permease subunit","A25724","multidrug"
"adeC/adeK/oprM family multidrug efflux complex outer membrane factor","A12156","multidrug"
"AIM family subclass B3 metallo-beta-lactamase","A24948","beta-lactamase"
"ALI family subclass B1 metallo-beta-lactamase","A57026","beta-lactamase"
"aminocyclitol acetyltransferase ApmA","A37326","aminocyclitol"
"aminoglycoside-2''-adenylyltransferase","A34115","aminoglycoside"
"aminoglycoside 2'-N-acetyltransferase","A58998","aminoglycoside"
"aminoglycoside 3'-O-phosphotransferase","A31035","aminoglycoside"
"aminoglycoside 3'-phosphotransferase","A4842","aminoglycoside"
"aminoglycoside 3'-phosphotransferase/choline kinase family protein","A17564","aminoglycoside"
"aminoglycoside 3-N-acetyltransferase","A29018","aminoglycoside"
"aminoglycoside 6'-acetyltransferase","A22349","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase","A14531","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase AAC(6')-29","A19592","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase AAC(6')-33","A35366","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase AAC(6')-35","A51878","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia","A21373","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae","A44837","aminoglycoside"
"aminoglycoside 6'-N-acetyltransferase AAC(6')-Iap","A64214","aminoglycoside"
