Genome,Replicon,plasmid_count,plasmid_total_size,toxin_chromosome,biofilm_chromosome,toxin_plasmid,biofilm_plasmid
GCF_000005825.2,NC_013791.2 chromosome;NC_013792.1 plasmid;NC_013793.1 plasmid,2,390251,7,0,1,0
GCF_000005845.2,NC_000913.3 chromosome,0,0,65,5,0,0
GCF_000006605.1,NC_003080.1 plasmid;NC_007164.1 chromosome,1,14323,12,0,1,0
GCF_000006625.1,NC_002162.1 chromosome,0,0,1,0,0,0
GCF_000006645.1,NC_004088.1 chromosome;NC_004838.1 plasmid,1,100990,55,3,2,0
GCF_000006685.1,NC_002182.1 plasmid;NC_002620.2 chromosome,1,7501,8,0,0,0
GCF_000006725.1,NC_002488.3 chromosome;NC_002489.3 plasmid;NC_002490.1 plasmid,2,52444,42,0,6,0
GCF_000006745.1,NC_002505.1 chromosome;NC_002506.1 chromosome,0,0,58,1,0,0
GCF_000006765.1,NC_002516.2 chromosome,0,0,13,19,0,0
GCF_000006785.2,NC_002737.2 chromosome,0,0,30,0,0,0
GCF_000006805.1,NC_001869.1 plasmid;NC_002607.1 chromosome;NC_002608.1 plasmid,2,556771,6,0,9,0
GCF_000006825.1,NC_002663.1 chromosome,0,0,6,0,0,0
GCF_000006845.1,NC_002946.2 chromosome,0,0,37,0,0,0
GCF_000006865.1,NC_002662.1 chromosome,0,0,15,0,0,0
GCF_000006885.1,NC_003028.3 chromosome,0,0,36,1,0,0
GCF_000006905.1,NC_002696.2 chromosome,0,0,41,0,0,0
GCF_000006925.2,NC_004337.2 chromosome;NC_004851.1 plasmid,1,221618,9,2,0,0
GCF_000006945.2,NC_003197.2 chromosome;NC_003277.2 plasmid,1,93933,13,0,2,0
GCF_000006965.1,NC_003037.1 plasmid;NC_003047.1 chromosome;NC_003078.1 plasmid,2,3037559,44,0,41,0
GCF_000006985.1,NC_002932.3 chromosome,0,0,10,0,0,0
GCF_000007005.1,NC_002754.1 chromosome,0,0,21,0,0,0
GCF_000007025.1,NC_003103.1 chromosome,0,0,20,0,0,0
GCF_000007045.1,NC_003098.1 chromosome,0,0,30,1,0,0
GCF_000007065.1,NC_003901.1 chromosome,0,0,20,0,0,0
GCF_000007085.1,NC_003869.1 chromosome,0,0,9,0,0,0
GCF_000007105.1,NC_006526.2 chromosome,0,0,4,0,0,0
GCF_000007125.1,NC_003317.1 chromosome;NC_003318.1 chromosome,0,0,10,0,0,0
GCF_000007145.1,NC_003902.1 chromosome,0,0,28,0,0,0
GCF_000007165.1,NC_003919.1 chromosome;NC_003921.3 plasmid;NC_003922.1 plasmid,2,98620,34,0,9,0
GCF_000007185.1,NC_003551.1 chromosome,0,0,0,0,0,0
GCF_000007205.1,NC_005043.1 chromosome,0,0,5,0,0,0
GCF_000007225.1,NC_003364.1 chromosome,0,0,7,0,0,0
GCF_000007245.1,NC_004554.1 plasmid;NC_004556.1 chromosome,1,1346,37,0,0,0
GCF_000007265.1,NC_004116.1 chromosome,0,0,17,0,0,0
GCF_000007285.1,NC_003485.1 chromosome,0,0,36,0,0,0
GCF_000007305.1,NC_003413.1 chromosome,0,0,14,0,0,0
GCF_000007345.1,NC_003552.1 chromosome,0,0,35,0,0,0
GCF_000007365.1,NC_004061.1 chromosome,0,0,0,0,0,0
GCF_000007385.1,NC_006834.1 chromosome,0,0,19,0,0,0
GCF_000007405.1,NC_004741.1 chromosome,0,0,56,7,0,0
GCF_000007425.1,NC_004070.1 chromosome,0,0,29,0,0,0
GCF_000007445.1,NC_004431.1 chromosome,0,0,79,7,0,0
GCF_000007465.2,NC_004350.2 chromosome,0,0,27,1,0,0
GCF_000007485.1,NC_004572.3 chromosome,0,0,0,0,0,0
GCF_000007505.1,NC_004310.3 chromosome;NC_004311.2 chromosome,0,0,9,0,0,0
GCF_000007525.1,NC_004307.2 chromosome;NC_004943.1 plasmid,1,3626,12,0,0,0
GCF_000007545.1,NC_004631.1 chromosome,0,0,41,8,0,0
GCF_000007565.2,NC_002947.4 chromosome,0,0,38,0,0,0
GCF_000007585.1,NC_002950.2 chromosome,0,0,5,0,0,0
GCF_000007605.1,NC_003361.3 chromosome;NC_004720.1 plasmid,1,7966,5,0,0,0
GCF_000007625.1,NC_004557.1 chromosome;NC_004565.1 plasmid,1,74082,12,0,2,0
GCF_000007645.1,NC_004461.1 chromosome;NC_005003.1 plasmid;NC_005004.1 plasmid;NC_005005.1 plasmid;NC_005006.1 plasmid;NC_005007.1 plasmid;NC_005008.1 plasmid,6,65336,9,0,2,0
GCF_000007665.1,NC_006087.1 chromosome,0,0,10,0,0,0
GCF_000007685.1,NC_005823.1 chromosome;NC_005824.1 chromosome,0,0,9,0,0,0
GCF_000007705.1,NC_005085.1 chromosome,0,0,13,0,0,0
GCF_000007725.1,NC_004545.1 chromosome;NC_004555.1 plasmid,1,2399,0,0,0,0
GCF_000007745.1,NC_006300.1 chromosome,0,0,9,0,0,0
GCF_000007765.2,NC_002971.4 chromosome;NC_004704.2 plasmid,1,37319,5,0,0,0
GCF_000007785.1,NC_004668.1 chromosome;NC_004669.1 plasmid;NC_004670.1 plasmid;NC_004671.1 plasmid,3,141943,27,4,6,0
GCF_000007805.1,NC_004578.1 chromosome;NC_004632.1 plasmid;NC_004633.1 plasmid,2,141134,44,0,4,0
GCF_000007825.1,NC_004721.2 plasmid;NC_004722.1 chromosome,1,15274,40,1,0,0
GCF_000007845.1,NC_003997.3 chromosome,0,0,27,1,0,0
GCF_000007865.1,NC_002944.2 chromosome,0,0,24,0,0,0
GCF_000007885.1,NC_005810.1 chromosome;NC_005813.1 plasmid;NC_005814.1 plasmid;NC_005815.1 plasmid;NC_005816.1 plasmid,4,208152,54,3,6,0
GCF_000007905.1,NC_004917.1 chromosome,0,0,11,0,0,0
GCF_000007925.1,NC_005042.1 chromosome,0,0,1,0,0,0
GCF_000007945.1,NC_002940.2 chromosome,0,0,12,0,0,0
GCF_000007985.2,NC_002939.5 chromosome,0,0,15,0,0,0
GCF_000008005.1,NC_003909.8 chromosome;NC_005707.1 plasmid,1,208369,27,1,0,0
GCF_000008025.1,NC_002978.6 chromosome,0,0,9,0,0,0
GCF_000008045.1,NC_006142.1 chromosome,0,0,2,0,0,0
GCF_000008065.1,NC_005362.1 chromosome,0,0,16,0,0,0
GCF_000008105.1,NC_006855.1 plasmid;NC_006856.1 plasmid;NC_006905.1 chromosome,2,188300,30,9,7,0
GCF_000008125.1,NC_005835.1 chromosome;NC_005838.1 plasmid,1,232605,17,0,10,0
GCF_000008145.1,NC_006932.1 chromosome;NC_006933.1 chromosome,0,0,8,0,0,0
GCF_000008165.1,NC_005945.1 chromosome,0,0,27,1,0,0
GCF_000008185.1,NC_002967.9 chromosome,0,0,63,0,0,0
GCF_000008205.1,NC_007295.1 chromosome,0,0,0,0,0,0
GCF_000008225.1,NC_007332.1 chromosome,0,0,0,0,0,0
GCF_000008245.1,NC_007294.1 chromosome,0,0,18,0,0,0
GCF_000008265.1,NC_005877.1 chromosome,0,0,4,0,0,0
GCF_000008285.1,NC_002973.6 chromosome,0,0,13,0,0,0
GCF_000008305.1,NC_006055.1 chromosome,0,0,0,0,0,0
GCF_000008325.1,NC_002977.6 chromosome,0,0,11,0,0,0
GCF_000008345.1,NC_006085.1 chromosome,0,0,17,0,0,0
GCF_000008365.1,NC_006908.1 chromosome,0,0,0,0,0,0
GCF_000008385.1,NC_006833.1 chromosome,0,0,1,0,0,0
GCF_000008405.1,NC_006360.1 chromosome,0,0,0,0,0,0
GCF_000008425.1,NC_006322.1 chromosome,0,0,26,2,0,0
GCF_000008445.1,NC_007322.2 plasmid;NC_007323.3 plasmid;NC_007530.2 chromosome,2,276507,27,1,6,0
GCF_000008465.1,NC_006512.1 chromosome,0,0,25,0,0,0
GCF_000008485.1,NC_002942.5 chromosome,0,0,4,0,0,0
GCF_000008505.1,NC_005957.1 chromosome;NC_006578.1 plasmid,1,77112,36,1,1,0
GCF_000008525.1,NC_000915.1 chromosome,0,0,10,0,0,0
GCF_000008545.1,NC_000853.1 chromosome,0,0,6,0,0,0
GCF_000008565.1,NC_000958.1 plasmid;NC_000959.1 plasmid;NC_001263.1 chromosome;NC_001264.1 chromosome,2,223170,10,0,5,0
GCF_000008585.1,NC_002755.2 chromosome,0,0,144,0,0,0
GCF_000008605.1,NC_000919.1 chromosome,0,0,5,0,0,0
GCF_000008625.1,NC_000918.1 chromosome;NC_001880.1 plasmid,1,39456,2,0,3,0
GCF_000008645.1,NC_000916.1 chromosome,0,0,3,0,0,0
GCF_000008665.1,NC_000917.1 chromosome,0,0,45,0,0,0
GCF_000008685.2,NC_000948.1 plasmid;NC_000949.1 plasmid;NC_000950.1 plasmid;NC_000951.1 plasmid;NC_000952.1 plasmid;NC_000953.1 plasmid;NC_000954.1 plasmid;NC_000955.2 plasmid;NC_000956.1 plasmid;NC_000957.1 plasmid;NC_001318.1 chromosome;NC_001849.2 plasmid;NC_001850.1 plasmid;NC_001851.2 plasmid;NC_001852.1 plasmid;NC_001853.1 plasmid;NC_001854.1 plasmid;NC_001855.1 plasmid;NC_001856.1 plasmid;NC_001857.2 plasmid;NC_001903.1 plasmid;NC_001904.1 plasmid,21,610484,3,0,0,0
GCF_000008725.1,NC_000117.1 chromosome,0,0,0,0,0,0
GCF_000008745.1,NC_000922.1 chromosome,0,0,4,0,0,0
GCF_000008765.1,NC_001988.2 plasmid;NC_003030.1 chromosome,1,192000,21,0,3,0
GCF_000008785.1,NC_000921.1 chromosome,0,0,12,0,0,0
GCF_000008805.1,NC_003112.2 chromosome,0,0,38,0,0,0
GCF_000008865.2,NC_002127.1 plasmid;NC_002128.1 plasmid;NC_002695.2 chromosome,2,96027,43,6,6,0
GCF_000008885.1,NC_003425.1 plasmid;NC_004344.2 chromosome,1,5280,2,0,0,0
GCF_000008925.1,NC_006529.1 plasmid;NC_006530.1 plasmid;NC_007929.1 chromosome;NC_007930.1 plasmid,3,306866,10,0,15,0
GCF_000008945.1,NC_004252.1 plasmid;NC_004253.1 plasmid;NC_010816.1 chromosome,2,13734,10,0,0,0
GCF_000008985.1,NC_006570.2 chromosome,0,0,4,0,0,0
GCF_000009005.1,NC_007622.1 chromosome,0,0,57,0,0,0
GCF_000009025.1,NC_007356.1 chromosome,0,0,4,0,0,0
GCF_000009045.1,NC_000964.3 chromosome,0,0,46,44,0,0
GCF_000009065.1,NC_003131.1 plasmid;NC_003132.1 plasmid;NC_003134.1 plasmid;NC_003143.1 chromosome,3,176127,56,3,5,0
GCF_000009085.1,NC_002163.1 chromosome,0,0,5,0,0,0
GCF_000009105.1,NC_003116.1 chromosome,0,0,18,0,0,0
GCF_000009125.1,NC_003295.1 chromosome;NC_003296.1 plasmid,1,2094509,22,0,18,0
GCF_000009145.1,NC_004757.1 chromosome,0,0,88,0,0,0
GCF_000009165.1,NC_007504.1 plasmid;NC_007505.1 plasmid;NC_007506.1 plasmid;NC_007507.1 plasmid;NC_007508.1 chromosome,4,241686,30,0,11,0
GCF_000009185.1,NC_008212.1 chromosome;NC_008213.1 plasmid,1,46867,14,0,0,0
GCF_000009205.2,NC_008226.2 plasmid;NC_009089.1 chromosome,1,7881,16,0,0,0
GCF_000009245.1,NC_007880.1 chromosome,0,0,5,0,0,0
GCF_000009265.1,NC_008378.1 plasmid;NC_008379.1 plasmid;NC_008380.1 chromosome;NC_008381.1 plasmid;NC_008382.1 plasmid;NC_008383.1 plasmid;NC_008384.1 plasmid,6,2694167,28,0,44,0
