"Product","product_map"
"DDE-type integrase/transposase/recombinase","A3514"
"DDE transposase","A20754"
"DDE transposase family protein","A23192"
"DUF2080 family transposase-associated protein","A20849"
"H repeat-associated putative transposase YbfD","A47371"
"H repeat-associated putative transposase YdcC","A47910"
"heteromeric transposase endonuclease subunit TnsA","A16075"
"ICEBs1 mobile element: conserved protein of unknown function","A52951"
"ICEBs1 mobile element: conserved small untranslated RNA","A52952"
"ICEBs1 mobile element: coupling conjugation protein VirD4","A52955"
"ICEBs1 mobile element: DNA relaxase","A52956"
"ICEBs1 mobile element: excisionase","A52950"
"ICEBs1 mobile element: helicase processivity factor","A52954"
"ICEBs1 mobile element: hypothetical protein","A52953"
"ICEBs1 mobile element: integrase","A52947"
"ICEBs1 mobile element: putative helicase","A52965"
"ICEBs1 mobile element: putative lipoprotein of unknown function","A52962"
"ICEBs1 mobile element: response regulator aspartate phosphatase","A52963"
"ICEBs1 mobile element: secreted regulator of the activity of phosphatase RapI","A52964"
"ICEBs1 mobile element: site-specific protease cleaving ImmR","A52948"
"ICEBs1 mobile element: subunit of the conjugation machinery","A52958"
"ICEBs1 mobile element: subunit of the conjugation machinery VirB8","A52957"
"ICEBs1 mobile element: transcriptional regulator (Xre family)","A52949"
"ICEBs1 mobile element: two-domain autolysin with N-acetylmuramidase and DL-endopeptidase activity VirB1","A52961"
"ICEBs1 mobile element: VirB4-like ATPase","A52959"
"ICEBs1 mobile element: VirB6 subunit of the conjugation machinery","A52960"
"inactive transposase YbfQ","A47370"
"insertion element","A58021"
"insertion element IS1 3 protein insA","A52151"
"insertion element IS1 protein InsA","A63137"
"insertion element IS1 protein InsB","A63136"
"insertion element IS150 protein","A63205"
"insertion element IS150 protein InsA","A49354"
"insertion element IS150 protein InsB","A63206"
"insertion element IS2 transposase InsD","A63201"
"insertion element is466s transposase","A58515"
"insertion element iso-IS10R transposase","A63203"
"Insertion element iso-IS1N protein insA","A63515"
"insertion element protein","A17935"
"insertion element transposase","A57962"
"insertion element transposase (fragment)","A58453"
"insertion sequence 2 OrfA protein","A63826"
"insertion sequence element IS1081 transposase","A59245"
"insertion sequence element IS1533 transposase","A59673"
"insertion sequence element IS1547 transposase","A59139"
"insertion sequence element IS1557 transposase","A59277"
"insertion sequence element IS600 integrase core domain-containing protein","A63335"
"insertion sequence element IS600 protein","A63170"
"insertion sequence element IS600 transposase","A63171"
"insertion sequence element IS629 integrase core domain-containing protein","A63351"
"insertion sequence element IS629 protein","A63167"
"insertion sequence element IS911 integrase core domain-containing protein","A63212"
"insertion sequence element IS911 transposase InsN","A63213"
"insertion sequence element ISSfl2 transposase","A63348"
"insertion sequence element ISSfl4 ORF2","A63185"
"insertion sequence element ISSfl4 transposase","A63186"
"insertion sequence IS3 transposase InsE","A63301"
"insertion sequence IS3A transposase InsF","A63300"
"insertion sequence IS4 transposase InsG","A63161"
"insertion sequence IS91 protein","A63299"
"insertion sequence IS91 transposase","A63298"
"IS-excision enhancer IEE","A69822"
"IS element ATP-binding protein","A57955"
"IS1-like element IS1A family transposase","A7339"
"IS1-like element IS1B family transposase","A5965"
"IS1-like element IS1D family transposase","A22127"
"IS1-like element IS1F family transposase","A7437"
"IS1-like element IS1H family transposase","A24064"
"IS1-like element IS1N family transposase","A29163"
"IS1-like element IS1SD family transposase","A29068"
"IS1-like element IS1X2 family transposase","A17731"
"IS1-like element IS1X3 family transposase","A26076"
"IS1-like element IS1X4 family transposase","A26867"
"IS1-like element ISAba3 family transposase","A34990"
"IS1-like element ISAcma3 family transposase","A62531"
"IS1-like element ISAcma33 family transposase","A62539"
"IS1-like element ISAcma36 family transposase","A62554"
"IS1-like element ISAcma4 family transposase","A60046"
